20140101 1 402916 1,10,8,9,5,7,2,6,3,4
20140101 2 402917 5,9,4,1,6,3,8,10,7,2
20140101 3 402918 5,10,4,2,8,1,6,7,3,9
20140101 4 402919 6,3,10,7,4,1,5,2,8,9
20140101 5 402920 1,3,8,10,2,6,9,5,7,4
20140101 6 402921 1,9,4,7,8,3,6,2,10,5
20140101 7 402922 8,6,1,7,10,9,3,5,2,4
20140101 8 402923 6,7,3,2,5,8,9,1,4,10
20140101 9 402924 4,10,8,9,6,1,3,2,5,7
20140101 10 402925 6,10,8,7,3,5,1,2,9,4
20140101 11 402926 4,7,6,2,3,9,1,5,8,10
20140101 12 402927 10,1,5,7,2,9,4,3,8,6
20140101 13 402928 9,2,3,7,1,5,8,4,6,10
20140101 14 402929 7,2,9,10,6,4,1,8,5,3
20140101 15 402930 1,8,5,4,9,6,7,3,10,2
20140101 16 402931 6,2,8,3,4,9,5,1,7,10
20140101 17 402932 7,6,3,8,1,5,2,10,4,9
20140101 18 402933 7,5,9,4,2,8,1,10,3,6
20140101 19 402934 3,7,5,8,10,1,6,4,9,2
20140101 20 402935 5,8,9,6,10,2,7,4,1,3
20140101 21 402936 7,9,4,1,2,6,8,5,10,3
20140101 22 402937 2,8,6,9,7,5,10,1,3,4
20140101 23 402938 5,8,7,1,2,10,4,6,3,9
20140101 24 402939 2,6,3,8,4,9,5,7,1,10
20140101 25 402940 4,5,1,7,10,2,3,9,6,8
20140101 26 402941 8,1,9,3,2,5,7,4,10,6
20140101 27 402942 3,9,6,10,7,8,5,2,4,1
20140101 28 402943 4,1,5,10,8,9,6,3,2,7
20140101 29 402944 8,7,3,10,2,9,6,5,1,4
20140101 30 402945 9,5,7,8,6,3,2,4,1,10
20140101 31 402946 8,9,4,5,3,6,2,1,7,10
20140101 32 402947 10,6,9,8,1,4,2,3,7,5
20140101 33 402948 9,3,10,7,6,4,5,8,2,1
20140101 34 402949 6,9,5,10,7,8,1,3,4,2
20140101 35 402950 3,4,7,8,10,2,1,5,6,9
20140101 36 402951 9,10,7,1,6,8,3,2,5,4
20140101 37 402952 1,8,2,7,5,4,3,9,10,6
20140101 38 402953 7,6,2,10,3,5,9,4,1,8
20140101 39 402954 5,2,6,8,9,7,10,3,1,4
20140101 40 402955 3,8,2,10,4,1,5,6,7,9
